show_id,show_date,city,state,country,venue,artist_name,tour_name,festival_flag,set_index,song_index,song_name,is_cover,cover_artist,encore_index
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,0,Woods Lake,0,,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,1,Freight Train,1,Alan Jackson,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,2,Comet,0,,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,3,Gypsy,0,,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,4,Molly and Tenbrooks,1,[traditional],
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,5,Paradise,1,John Prine,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,6,Seven Devils,0,,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,7,Mountain,0,,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,8,Timebomb,1,Old 97’s,
434f6bb7,2025-11-20,Covington,Kentucky,United States,Madison Live,Kitchen Dwellers,,0,0,9,Can You Get to That,1,Funkadelic,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,0,Muir Maid,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,1,Diggin on a mountainside,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,2,Here We Go,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,3,Paradise Valley,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,4,Broken Cage,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,5,The Living Dread,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,0,6,New Horizons,1,Yonder Mountain String Band,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,0,Rain and Snow,1,[traditional],
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,1,Sweet Baby James,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,2,Church Street Blues,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,3,Over the Waterfall,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,4,Ghost in the Bottle,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,5,The Crow and the Raven,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,6,Drowning (... Again),0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,7,Centerfold,0,,
234238eb,2025-11-13,Cambridge,Massachusetts,United States,The Sinclair,Kitchen Dwellers,,0,1,8,Drowning (... Again),0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,0,This Time,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,1,Sunday Funday,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,2,Driftwood,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,3,Tom Barrett,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,4,Old Train,1,The Seldom Scene,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,5,Wayfaring Stranger,1,[traditional],
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,6,Pendulum,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,0,7,Smokestack,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,1,0,Letterbound,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,1,1,The Streamlined Cannonball,1,Roy Acuff,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,1,2,Meagher's Reel,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,1,3,Waterford Son,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,1,4,Katabatic,0,,
2b4f9ca2,2025-11-02,Winston-Salem,North Carolina,United States,The Ramkat,Kitchen Dwellers,,0,1,5,Wise River,0,,
